Gene,Sample,Habitat,Group
JRQF01000122.1_5,GCA_000768125.1_ASM76812v1_genomic,pig faeces,GroupA
POVQ01000045.1_5,GCA_002896405.1_ASM289640v1_genomic,pig faeces,GroupD
CP049299.1_1366,GCA_011058535.1_ASM1105853v1_genomic,pig faeces,GroupE
AAQWMR010000049.1_6,GCA_011805225.1_PDT000651905.2_genomic,pig faeces,GroupA
AAQWPG010000010.1_86,GCA_011806585.1_PDT000650013.2_genomic,pig faeces,GroupC
AAQWPA010000012.1_86,GCA_011806745.1_PDT000650014.2_genomic,pig faeces,GroupA
AAQWXN010000012.1_76,GCA_011814605.1_PDT000646038.2_genomic,pig faeces,GroupF
AAQWYH010000013.1_86,GCA_011814765.1_PDT000645880.2_genomic,pig faeces,GroupF
AAQWYP010000013.1_86,GCA_011815225.1_PDT000645150.2_genomic,pig faeces,GroupA
AAQWZE010000041.1_6,GCA_011815625.1_PDT000646041.2_genomic,pig faeces,GroupA
AAQXGT010000098.1_6,GCA_011819445.1_PDT000640014.2_genomic,pig faeces,GroupA
AAQXGS010000095.1_6,GCA_011819485.1_PDT000640018.2_genomic,pig faeces,GroupC
AAQXGP010000054.1_5,GCA_011819525.1_PDT000640015.2_genomic,pig faeces,GroupA
AAQXHD010000041.1_6,GCA_011819665.1_PDT000640016.2_genomic,pig faeces,GroupA
AAQXIM010000043.1_5,GCA_011819865.1_PDT000640046.2_genomic,pig faeces,GroupA
AAQXHS010000043.1_6,GCA_011820125.1_PDT000640022.2_genomic,pig faeces,GroupA
AAQXHY010000007.1_82,GCA_011820145.1_PDT000640019.2_genomic,pig faeces,GroupA
AAQXHR010000042.1_6,GCA_011820185.1_PDT000640048.2_genomic,pig faeces,GroupA
AAQXIC010000046.1_6,GCA_011820265.1_PDT000640011.2_genomic,pig faeces,GroupA
AAQXWL010000044.1_6,GCA_011828235.1_PDT000630268.2_genomic,pig faeces,GroupF
AAQXZB010000012.1_86,GCA_011828975.1_PDT000628611.2_genomic,pig faeces,GroupA
AAQXZN010000012.1_86,GCA_011829135.1_PDT000628612.2_genomic,pig faeces,GroupA
AAQXZH010000043.1_6,GCA_011829625.1_PDT000628613.2_genomic,pig faeces,GroupA
AARIQX010000042.1_6,GCA_011971155.1_PDT000469999.2_genomic,pig faeces,GroupA
AARKMU010000003.1_171,GCA_012005935.1_PDT000640044.1_genomic,pig faeces,GroupC
AARKMV010000003.1_179,GCA_012006105.1_PDT000640010.1_genomic,pig faeces,GroupA
AARKMT010000012.1_82,GCA_012006165.1_PDT000640028.1_genomic,pig faeces,GroupA
AARKNZ010000105.1_6,GCA_012006825.1_PDT000638926.1_genomic,pig faeces,GroupA
AARLJP010000104.1_5,GCA_012018225.1_PDT000439512.2_genomic,pig faeces,GroupC
AARRIX010000035.1_40,GCA_012116835.1_PDT000432503.1_genomic,pig faeces,GroupC
AARUPG010000008.1_173,GCA_012161865.1_PDT000439417.1_genomic,pig faeces,GroupF
AARUSU010000028.1_55,GCA_012163455.1_PDT000439476.1_genomic,pig faeces,GroupA
AARUSX010000079.1_5,GCA_012163815.1_PDT000439477.1_genomic,pig faeces,GroupA
AARWAS010000017.1_46,GCA_012181145.1_PDT000466962.1_genomic,pig faeces,GroupC
AARWAR010000055.1_25,GCA_012182745.1_PDT000466968.1_genomic,pig faeces,GroupA
AARWAO010000034.1_5,GCA_012182775.1_PDT000466970.1_genomic,pig faeces,GroupA
AARWAQ010000032.1_6,GCA_012182795.1_PDT000466965.1_genomic,pig faeces,GroupA
AARWAT010000025.1_73,GCA_012182935.1_PDT000466961.1_genomic,pig faeces,GroupA
AARWDZ010000022.1_25,GCA_012184685.1_PDT000466988.1_genomic,pig faeces,GroupA
AARWDR010000006.1_171,GCA_012184785.1_PDT000466985.1_genomic,pig faeces,GroupA
AARWDW010000080.1_5,GCA_012184845.1_PDT000466977.1_genomic,pig faeces,GroupA
AARWEB010000022.1_74,GCA_012185155.1_PDT000466979.1_genomic,pig faeces,GroupA
AARWDX010000040.1_5,GCA_012185245.1_PDT000466976.1_genomic,pig faeces,GroupE
AARWGQ010000022.1_74,GCA_012186225.1_PDT000467009.1_genomic,pig faeces,GroupA
AARWGN010000090.1_5,GCA_012186265.1_PDT000467012.1_genomic,pig faeces,GroupA
AARWGO010000055.1_5,GCA_012186445.1_PDT000467013.1_genomic,pig faeces,GroupA
AARWGP010000048.1_5,GCA_012186565.1_PDT000467008.1_genomic,pig faeces,GroupA
AARWGU010000026.1_73,GCA_012186765.1_PDT000467007.1_genomic,pig faeces,GroupA
AARWGZ010000023.1_73,GCA_012186805.1_PDT000466999.1_genomic,pig faeces,GroupF
AARWHC010000037.1_5,GCA_012186845.1_PDT000466997.1_genomic,pig faeces,GroupA
AARWGX010000075.1_5,GCA_012186865.1_PDT000466995.1_genomic,pig faeces,GroupA
AARWNK010000024.1_51,GCA_012188065.1_PDT000467011.1_genomic,pig faeces,GroupA
AARWJT010000117.1_5,GCA_012190505.1_PDT000467023.1_genomic,pig faeces,GroupA
AARWJW010000084.1_6,GCA_012191495.1_PDT000467018.1_genomic,pig faeces,GroupA
AARZAI010000012.1_5,GCA_012210285.1_PDT000309344.2_genomic,pig faeces,GroupA
AARZLB010000007.1_179,GCA_012214265.1_PDT000306620.2_genomic,pig faeces,GroupA
AARZNJ010000004.1_94,GCA_012215245.1_PDT000305464.2_genomic,pig faeces,GroupA
AARZNL010000012.1_113,GCA_012215265.1_PDT000305454.2_genomic,pig faeces,GroupA
AARYPG010000007.1_177,GCA_012226285.1_PDT000312629.2_genomic,pig faeces,GroupA
AARYOU010000007.1_177,GCA_012226885.1_PDT000312647.2_genomic,pig faeces,GroupA
AARYOV010000104.1_5,GCA_012227455.1_PDT000312648.2_genomic,pig faeces,GroupA
AARZVE010000001.1_172,GCA_012228925.1_PDT000300912.2_genomic,pig faeces,GroupC
AARZVG010000009.1_83,GCA_012229185.1_PDT000300832.2_genomic,pig faeces,GroupA
AARZVC010000093.1_6,GCA_012229365.1_PDT000300999.2_genomic,pig faeces,GroupA
AARZVB010000007.1_178,GCA_012229475.1_PDT000300978.2_genomic,pig faeces,GroupA
AARZVL010000046.1_27,GCA_012229525.1_PDT000300824.2_genomic,pig faeces,GroupA
AARYPJ010000014.1_100,GCA_012229605.1_PDT000312628.2_genomic,pig faeces,GroupA
AASAYN010000034.1_42,GCA_012251785.1_PDT000470009.1_genomic,pig faeces,GroupA
AASAYP010000012.1_41,GCA_012251815.1_PDT000469998.1_genomic,pig faeces,GroupF
AASAYK010000072.1_6,GCA_012251845.1_PDT000470004.1_genomic,pig faeces,GroupA
AASAYO010000035.1_41,GCA_012251885.1_PDT000470002.1_genomic,pig faeces,GroupE
AASAYT010000013.1_94,GCA_012251925.1_PDT000469983.1_genomic,pig faeces,GroupA
AASAYU010000035.1_42,GCA_012251985.1_PDT000469982.1_genomic,pig faeces,GroupC
AASAZE010000013.1_42,GCA_012252125.1_PDT000469962.1_genomic,pig faeces,GroupA
AASBXI010000019.1_81,GCA_012264365.1_PDT000283086.2_genomic,pig faeces,GroupC
AASBXR010000020.1_81,GCA_012264505.1_PDT000283075.2_genomic,pig faeces,GroupA
AASBXT010000023.1_81,GCA_012264525.1_PDT000283074.2_genomic,pig faeces,GroupA
AASCAE010000019.1_81,GCA_012265285.1_PDT000282887.2_genomic,pig faeces,GroupC
AASCYF010000005.1_171,GCA_012286845.1_PDT000532401.1_genomic,pig faeces,GroupA
AASCZJ010000010.1_85,GCA_012287125.1_PDT000526159.1_genomic,pig faeces,GroupA
AASCZN010000012.1_85,GCA_012288785.1_PDT000526155.1_genomic,pig faeces,GroupA
AASDLR010000054.1_6,GCA_012294985.1_PDT000510078.1_genomic,pig faeces,GroupA
AASDMZ010000056.1_5,GCA_012363005.1_PDT000510044.1_genomic,pig faeces,GroupA
AASDMN010000006.1_188,GCA_012377515.1_PDT000510056.1_genomic,pig faeces,GroupA
AASNWE010000003.1_228,GCA_012449205.1_PDT000602779.1_genomic,pig faeces,GroupA
AASNWD010000036.1_36,GCA_012449265.1_PDT000602780.1_genomic,pig faeces,GroupA
AASOAX010000068.1_6,GCA_012453605.1_PDT000602782.1_genomic,pig faeces,GroupF
AASQCE010000039.1_6,GCA_012487355.1_PDT000193068.3_genomic,pig faeces,GroupA
AASVHN010000043.1_6,GCA_012591925.1_PDT000671284.1_genomic,pig faeces,GroupA
AASVJO010000046.1_5,GCA_012592645.1_PDT000651897.1_genomic,pig faeces,GroupA
AASVID010000104.1_4,GCA_012592965.1_PDT000655942.1_genomic,pig faeces,GroupA
AASVIN010000033.1_6,GCA_012593085.1_PDT000653440.1_genomic,pig faeces,GroupE
AASVIP010000033.1_6,GCA_012593105.1_PDT000651910.1_genomic,pig faeces,GroupA
AASVIS010000045.1_8,GCA_012593195.1_PDT000651908.1_genomic,pig faeces,GroupA
AASVLY010000098.1_5,GCA_012593755.1_PDT000653450.1_genomic,pig faeces,GroupA
AASVLT010000100.1_5,GCA_012594315.1_PDT000655795.1_genomic,pig faeces,GroupA
AASVLP010000016.1_24,GCA_012594405.1_PDT000655770.1_genomic,pig faeces,GroupA
AASVMF010000097.1_5,GCA_012595045.1_PDT000652174.1_genomic,pig faeces,GroupA
AASVPT010000013.1_40,GCA_012596295.1_PDT000645876.1_genomic,pig faeces,GroupA
AASVPE010000038.1_38,GCA_012596835.1_PDT000646047.1_genomic,pig faeces,GroupA
AASVPG010000002.1_171,GCA_012596895.1_PDT000646048.1_genomic,pig faeces,GroupA
AASVPJ010000097.1_5,GCA_012596935.1_PDT000646040.1_genomic,pig faeces,GroupA
AASVPP010000007.1_88,GCA_012596955.1_PDT000646043.1_genomic,pig faeces,GroupC
AASVPS010000034.1_6,GCA_012596975.1_PDT000646039.1_genomic,pig faeces,GroupE
AASVPH010000019.1_54,GCA_012596995.1_PDT000646042.1_genomic,pig faeces,GroupA
AASVPM010000014.1_81,GCA_012597035.1_PDT000645885.1_genomic,pig faeces,GroupA
AASVPR010000024.1_54,GCA_012597055.1_PDT000645886.1_genomic,pig faeces,GroupA
AASVPW010000021.1_54,GCA_012597065.1_PDT000645884.1_genomic,pig faeces,GroupC
AASVPO010000053.1_6,GCA_012597085.1_PDT000645881.1_genomic,pig faeces,GroupF
AASVQH010000003.1_232,GCA_012597135.1_PDT000645160.1_genomic,pig faeces,GroupA
AASVQT010000044.1_26,GCA_012597155.1_PDT000645155.1_genomic,pig faeces,GroupA
AASVQF010000001.1_232,GCA_012597195.1_PDT000645153.1_genomic,pig faeces,GroupA
AASVQK010000037.1_6,GCA_012597215.1_PDT000645158.1_genomic,pig faeces,GroupA
AASVQI010000031.1_39,GCA_012597235.1_PDT000645152.1_genomic,pig faeces,GroupA
AASVQN010000008.1_26,GCA_012597255.1_PDT000645148.1_genomic,pig faeces,GroupA
AASVPQ010000005.1_184,GCA_012597535.1_PDT000645879.1_genomic,pig faeces,GroupA
AASWAM010000002.1_171,GCA_012602895.1_PDT000655779.1_genomic,pig faeces,GroupA
AASWDN010000053.1_5,GCA_012604965.1_PDT000668315.2_genomic,pig faeces,GroupC
AASWDU010000086.1_6,GCA_012605225.1_PDT000655754.1_genomic,pig faeces,GroupF
AASWEO010000009.1_179,GCA_012605795.1_PDT000644174.1_genomic,pig faeces,GroupC
AASWGW010000001.1_232,GCA_012607055.1_PDT000657089.1_genomic,pig faeces,GroupA
AASWIT010000002.1_194,GCA_012607855.1_PDT000640006.1_genomic,pig faeces,GroupA
AASWIO010000047.1_5,GCA_012607895.1_PDT000640027.1_genomic,pig faeces,GroupC
AASWIV010000035.1_6,GCA_012607935.1_PDT000640017.1_genomic,pig faeces,GroupA
AASWIU010000038.1_5,GCA_012607975.1_PDT000640005.1_genomic,pig faeces,GroupA
AASWJB010000004.1_232,GCA_012608015.1_PDT000639964.1_genomic,pig faeces,GroupA
AASWIR010000048.1_6,GCA_012608055.1_PDT000640026.1_genomic,pig faeces,GroupA
AASWJT010000034.1_6,GCA_012608575.1_PDT000655778.1_genomic,pig faeces,GroupB
AASWMD010000043.1_3,GCA_012610175.1_PDT000638922.1_genomic,pig faeces,GroupA
AASWME010000005.1_188,GCA_012610195.1_PDT000638921.1_genomic,pig faeces,GroupF
